id,href,agency/id,agency/href,agency/name,agency/culture,name,geometry/type,geometry/coordinates/0,geometry/coordinates/1,modes/0
Vl8cvlWGiEO9eagHAOxXLw,https://platform.whereismytransport.com/api/stops/Vl8cvlWGiEO9eagHAOxXLw,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Corner Kyambogo Road and Jinja-Kampala Road,Point,32.62567,0.33837,ShareTaxi
tS6jhORexUuAM6gHAOxWBg,https://platform.whereismytransport.com/api/stops/tS6jhORexUuAM6gHAOxWBg,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Corner Lireka Road and Kinawataka Road,Point,32.63408,0.33468,ShareTaxi
t8Q-SO8i8ka976gHAOxYDA,https://platform.whereismytransport.com/api/stops/t8Q-SO8i8ka976gHAOxYDA,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Corner Mutungo Tank Road andOld Butabika Road,Point,32.65218,0.3099,ShareTaxi
q-xCbYlEmU6hj6gHAOxYFQ,https://platform.whereismytransport.com/api/stops/q-xCbYlEmU6hj6gHAOxYFQ,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Corner Mwalimu Road and Kirombe-Butabika Road,Point,32.65693,0.3092,ShareTaxi
-dBMV7NtakynwqgXAHShIg,https://platform.whereismytransport.com/api/stops/-dBMV7NtakynwqgXAHShIg,Gmpaqr87U062FqgXAHR9CA,https://platform.whereismytransport.com/api/agencies/Gmpaqr87U062FqgXAHR9CA,Kampala Taxis,en,Corner Nakiwongo Road and Kiwafu Road,Point,32.45026,0.07985,ShareTaxi
b3Z12wJqGEqznagHAOxWFQ,https://platform.whereismytransport.com/api/stops/b3Z12wJqGEqznagHAOxWFQ,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Corner Sebunnya Road and Kireka Road,Point,32.64688,0.34381,ShareTaxi
FMARo6fkQ0qeYKgHAOxXpQ,https://platform.whereismytransport.com/api/stops/FMARo6fkQ0qeYKgHAOxXpQ,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Corner Upper Naguru E Road and Kira Road,Point,32.60499,0.35023,ShareTaxi
TjbyPynwrUmYuKgXAHSdlQ,https://platform.whereismytransport.com/api/stops/TjbyPynwrUmYuKgXAHSdlQ,Gmpaqr87U062FqgXAHR9CA,https://platform.whereismytransport.com/api/agencies/Gmpaqr87U062FqgXAHR9CA,Kampala Taxis,en,"Corner, Wakaliga Road and Mityana Road",Point,32.53353,0.29958,ShareTaxi
TqKB5EU_4USQQKgHAOxWTQ,https://platform.whereismytransport.com/api/stops/TqKB5EU_4USQQKgHAOxWTQ,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Cosmos Limited,Point,32.63216,0.34083,ShareTaxi
nMXsOF2ApUOZyagHAOxXXw,https://platform.whereismytransport.com/api/stops/nMXsOF2ApUOZyagHAOxXXw,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,"DFCU Bank, Kampala Road",Point,32.5859,0.31238,ShareTaxi
V6DtxjrxO0uC56gHAOxUIg,https://platform.whereismytransport.com/api/stops/V6DtxjrxO0uC56gHAOxUIg,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,De Shrine Inn,Point,32.65476,0.38805,ShareTaxi
MB2-w1OhUEaqe6gHAOxY2g,https://platform.whereismytransport.com/api/stops/MB2-w1OhUEaqe6gHAOxY2g,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Devine Grace Shop,Point,32.5427,0.2144,ShareTaxi
fs_NDdgy4kasR6gHAOxaoA,https://platform.whereismytransport.com/api/stops/fs_NDdgy4kasR6gHAOxaoA,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,"Digital Sounds, Port Bell Road",Point,32.6336,0.31545,ShareTaxi
E_i0yY5OiUGEOagHAOxWeA,https://platform.whereismytransport.com/api/stops/E_i0yY5OiUGEOagHAOxWeA,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Directorate of Industrial Training,Point,32.60257,0.32361,ShareTaxi
dhXdlX1CdkO8gKgHAOxZcg,https://platform.whereismytransport.com/api/stops/dhXdlX1CdkO8gKgHAOxZcg,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Doctors Hospital Sseguku,Point,32.55175,0.23189,ShareTaxi
UKPen0PJbkGfZ6gHAOxYjg,https://platform.whereismytransport.com/api/stops/UKPen0PJbkGfZ6gHAOxYjg,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,East African Development Bank,Point,32.58018,0.31456,ShareTaxi
sVu9QMT4MUeQ_KgHAOxW2g,https://platform.whereismytransport.com/api/stops/sVu9QMT4MUeQ_KgHAOxW2g,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Eastern Route Hotel,Point,32.64799,0.34717,ShareTaxi
vf142iGrJ0WS-KgHAOxSdA,https://platform.whereismytransport.com/api/stops/vf142iGrJ0WS-KgHAOxSdA,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Entebbe Taxi Stage,Point,32.58168,0.31082,ShareTaxi
1jfpNoh89EKk-KgHAOxWHg,https://platform.whereismytransport.com/api/stops/1jfpNoh89EKk-KgHAOxWHg,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Euroflex Factory,Point,32.65489,0.34373,ShareTaxi
9_DuDEHZykygcKgHAOxYwg,https://platform.whereismytransport.com/api/stops/9_DuDEHZykygcKgHAOxYwg,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Feulex Petrol Station,Point,32.54942,0.22729,ShareTaxi
w3koQupAg0mPK6gHAOxYVg,https://platform.whereismytransport.com/api/stops/w3koQupAg0mPK6gHAOxYVg,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Freedom City Mall,Point,32.56528,0.27382,ShareTaxi
yu0gwnlJT0OS06gHAOxYtA,https://platform.whereismytransport.com/api/stops/yu0gwnlJT0OS06gHAOxYtA,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Front Page Hotel Limited,Point,32.56607,0.2611,ShareTaxi
qtN-UBFaUEGSNKgHAOxZpQ,https://platform.whereismytransport.com/api/stops/qtN-UBFaUEGSNKgHAOxZpQ,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Full Gospel Church Zana,Point,32.55878,0.24729,ShareTaxi
-i0yU4I7hU2rBagHAOxTYg,https://platform.whereismytransport.com/api/stops/-i0yU4I7hU2rBagHAOxTYg,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Furniture City,Point,32.59839,0.3482,ShareTaxi
VGqifR7gQUWoWagHAOxVUw,https://platform.whereismytransport.com/api/stops/VGqifR7gQUWoWagHAOxVUw,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Furniture City,Point,32.59861,0.34824,ShareTaxi
